,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,name,Ticker
0,2019-03-01,8.966095371401302,-7.152198034823198,25.857274926780846,8.966095371401302,8.966095371401302,-0.1959232780513883,-0.1959232780513883,-0.1959232780513883,0.01670495925642786,0.01670495925642786,0.01670495925642786,-0.02250326329201037,-0.02250326329201037,-0.02250326329201037,-0.19012497401580575,-0.19012497401580575,-0.19012497401580575,0.0,0.0,0.0,8.770172093349913,NEO,NEO
1,2019-03-02,8.974975374301032,-6.215219259322497,23.969337434636692,8.974975374301032,8.974975374301032,-0.5303988237090821,-0.5303988237090821,-0.5303988237090821,0.01670495925642786,0.01670495925642786,0.01670495925642786,-0.041220792253516714,-0.041220792253516714,-0.041220792253516714,-0.5058829907119932,-0.5058829907119932,-0.5058829907119932,0.0,0.0,0.0,8.44457655059195,NEO,NEO
2,2019-03-03,8.983855377200761,-6.5450961519259865,24.194499232288923,8.983855377200761,8.983855377200761,-0.5479617270466571,-0.5479617270466571,-0.5479617270466571,0.01670495925642786,0.01670495925642786,0.01670495925642786,0.2722871387515667,0.2722871387515667,0.2722871387515667,-0.8369538250546514,-0.8369538250546514,-0.8369538250546514,0.0,0.0,0.0,8.435893650154105,NEO,NEO
3,2019-03-04,8.992735380100491,-7.299602108440517,24.118900542233977,8.992735380100491,8.992735380100491,-1.0984550314602717,-1.0984550314602717,-1.0984550314602717,0.016704959256427863,0.016704959256427863,0.016704959256427863,0.06187090485524978,0.06187090485524978,0.06187090485524978,-1.1770308955719495,-1.1770308955719495,-1.1770308955719495,0.0,0.0,0.0,7.894280348640219,NEO,NEO
4,2019-03-05,9.001615383000223,-8.035637275603088,22.560570564318706,9.001615383000223,9.001615383000223,-1.594422800155915,-1.594422800155915,-1.594422800155915,0.016704959256427863,0.016704959256427863,0.016704959256427863,-0.09128503287939017,-0.09128503287939017,-0.09128503287939017,-1.5198427265329533,-1.5198427265329533,-1.5198427265329533,0.0,0.0,0.0,7.407192582844308,NEO,NEO
5,2019-03-06,9.010495385899953,-8.624451520712245,23.204336706281737,9.010495385899953,9.010495385899953,-1.966809612208072,-1.966809612208072,-1.966809612208072,0.016704959256427863,0.016704959256427863,0.016704959256427863,-0.12423649520208374,-0.12423649520208374,-0.12423649520208374,-1.8592780762624155,-1.8592780762624155,-1.8592780762624155,0.0,0.0,0.0,7.04368577369188,NEO,NEO
6,2019-03-07,9.019375388799682,-8.981865269277831,22.75923071410717,9.019375388799682,9.019375388799682,-2.227710065289697,-2.227710065289697,-2.227710065289697,0.01670495925642786,0.01670495925642786,0.01670495925642786,-0.05491245998018267,-0.05491245998018267,-0.05491245998018267,-2.189502564565941,-2.189502564565941,-2.189502564565941,0.0,0.0,0.0,6.791665323509985,NEO,NEO
7,2019-03-08,9.028255391699412,-9.153023182785393,22.114664294081535,9.028255391699412,9.028255391699412,-2.5108622850908056,-2.5108622850908056,-2.5108622850908056,0.016704959256427863,0.016704959256427863,0.016704959256427863,-0.02250326329163299,-0.02250326329163299,-0.02250326329163299,-2.5050639810555997,-2.5050639810555997,-2.5050639810555997,0.0,0.0,0.0,6.517393106608607,NEO,NEO
8,2019-03-09,9.037135394599144,-9.317852263486545,21.8120913854092,9.037135394599144,9.037135394599144,-2.8254996434193322,-2.8254996434193322,-2.8254996434193322,0.01670495925642786,0.01670495925642786,0.01670495925642786,-0.04122079225325905,-0.04122079225325905,-0.04122079225325905,-2.8009838104225007,-2.8009838104225007,-2.8009838104225007,0.0,0.0,0.0,6.211635751179811,NEO,NEO
9,2019-03-10,9.046015397498874,-10.431149612311302,22.341814469249297,9.046015397498874,9.046015397498874,-2.7838408318341954,-2.7838408318341954,-2.7838408318341954,0.016704959256427863,0.016704959256427863,0.016704959256427863,0.27228713875137106,0.27228713875137106,0.27228713875137106,-3.0728329298419936,-3.0728329298419936,-3.0728329298419936,0.0,0.0,0.0,6.262174565664678,NEO,NEO
