,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,name,Ticker
0,2020-12-03,12.679052176392684,-196.2210388170618,162.1363132382719,12.679052176392684,12.679052176392684,-28.633662878354688,-28.633662878354688,-28.633662878354688,-24.729644776204076,-24.729644776204076,-24.729644776204076,-3.904018102150613,-3.904018102150613,-3.904018102150613,0.0,0.0,0.0,-15.954610701962004,Dogecoin,Dg
1,2020-12-04,15.221370360540396,-204.06494614275474,178.05715625727484,15.221370360540396,15.221370360540396,-26.04263624584434,-26.04263624584434,-26.04263624584434,-24.729644776204076,-24.729644776204076,-24.729644776204076,-1.3129914696402623,-1.3129914696402623,-1.3129914696402623,0.0,0.0,0.0,-10.821265885303943,Dogecoin,Dg
2,2020-12-05,17.763688544688105,-195.76656215289754,186.81443284664925,17.763688544688105,17.763688544688105,-24.528408571248377,-24.528408571248377,-24.528408571248377,-24.729644776204076,-24.729644776204076,-24.729644776204076,0.20123620495569672,0.20123620495569672,0.20123620495569672,0.0,0.0,0.0,-6.764720026560273,Dogecoin,Dg
3,2020-12-06,20.30600672883582,-189.99416756664345,195.78428175434223,20.30600672883582,20.30600672883582,-25.03540337123796,-25.03540337123796,-25.03540337123796,-24.729644776204076,-24.729644776204076,-24.729644776204076,-0.30575859503388214,-0.30575859503388214,-0.30575859503388214,0.0,0.0,0.0,-4.72939664240214,Dogecoin,Dg
4,2020-12-07,22.84832491298353,-188.53817933807034,178.24620732540478,22.84832491298353,22.84832491298353,-22.408865887328915,-22.408865887328915,-22.408865887328915,-24.729644776204076,-24.729644776204076,-24.729644776204076,2.3207788888751604,2.3207788888751604,2.3207788888751604,0.0,0.0,0.0,0.4394590256546138,Dogecoin,Dg
5,2020-12-08,25.390643097131242,-199.39624050125872,193.26384456888303,25.390643097131242,25.390643097131242,-23.260223782533906,-23.260223782533906,-23.260223782533906,-24.729644776204076,-24.729644776204076,-24.729644776204076,1.469420993670171,1.469420993670171,1.469420993670171,0.0,0.0,0.0,2.1304193145973365,Dogecoin,Dg
6,2020-12-09,27.932961281278953,-189.90526612571335,192.70548598397676,27.932961281278953,27.932961281278953,-23.198312696908104,-23.198312696908104,-23.198312696908104,-24.729644776204076,-24.729644776204076,-24.729644776204076,1.531332079295971,1.531332079295971,1.531332079295971,0.0,0.0,0.0,4.734648584370849,Dogecoin,Dg
7,2020-12-10,30.475279465426663,-188.92977172452774,179.69089517709378,30.475279465426663,30.475279465426663,-28.63366287835499,-28.63366287835499,-28.63366287835499,-24.729644776204076,-24.729644776204076,-24.729644776204076,-3.904018102150914,-3.904018102150914,-3.904018102150914,0.0,0.0,0.0,1.8416165870716732,Dogecoin,Dg
8,2020-12-11,33.01759764957438,-178.33101165372892,195.6389620425796,33.01759764957438,33.01759764957438,-26.042636245835943,-26.042636245835943,-26.042636245835943,-24.729644776204076,-24.729644776204076,-24.729644776204076,-1.3129914696318654,-1.3129914696318654,-1.3129914696318654,0.0,0.0,0.0,6.974961403738433,Dogecoin,Dg
9,2020-12-12,35.55991583372209,-181.99142005626845,198.92504561944602,35.55991583372209,35.55991583372209,-24.528408571236263,-24.528408571236263,-24.528408571236263,-24.729644776204076,-24.729644776204076,-24.729644776204076,0.201236204967814,0.201236204967814,0.201236204967814,0.0,0.0,0.0,11.031507262485825,Dogecoin,Dg
10,2020-12-13,38.102234017869804,-180.08790248443472,199.13142245599877,38.102234017869804,38.102234017869804,-25.035403371231475,-25.035403371231475,-25.035403371231475,-24.729644776204076,-24.729644776204076,-24.729644776204076,-0.30575859502739994,-0.30575859502739994,-0.30575859502739994,0.0,0.0,0.0,13.06683064663833,Dogecoin,Dg
11,2020-12-14,40.6445522020175,-172.02976781899326,202.7729062472181,40.6445522020175,40.6445522020175,-22.408865887320285,-22.408865887320285,-22.408865887320285,-24.729644776204076,-24.729644776204076,-24.729644776204076,2.3207788888837895,2.3207788888837895,2.3207788888837895,0.0,0.0,0.0,18.235686314697215,Dogecoin,Dg
