,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,name,Ticker
10,2019-03-11,52.72083004068773,-6.499767561862444,95.13241484790927,52.72083004068773,52.72083004068773,-9.686276545887514,-9.686276545887514,-9.686276545887514,7.788085958879669,7.788085958879669,7.788085958879669,0.22570684685765172,0.22570684685765172,0.22570684685765172,-17.70006935162483,-17.70006935162483,-17.70006935162483,0.0,0.0,0.0,43.034553494800214,Monero,XMR
11,2019-03-12,52.86018518077049,-9.816809438040778,92.72260362377203,52.86018518077049,52.86018518077049,-10.940816281974751,-10.940816281974751,-10.940816281974751,7.788085958879669,7.788085958879669,7.788085958879669,-0.37035885008714203,-0.37035885008714203,-0.37035885008714203,-18.358543390767284,-18.358543390767284,-18.358543390767284,0.0,0.0,0.0,41.91936889879574,Monero,XMR
12,2019-03-13,52.999540320853264,-11.274835335641482,90.42482148358684,52.999540320853264,52.999540320853264,-11.590046856112432,-11.590046856112432,-11.590046856112432,7.788085958879669,7.788085958879669,7.788085958879669,-0.5260959057303027,-0.5260959057303027,-0.5260959057303027,-18.852036909261795,-18.852036909261795,-18.852036909261795,0.0,0.0,0.0,41.409493464740834,Monero,XMR
13,2019-03-14,53.13889546093603,-8.017533006046236,95.52180747846664,53.13889546093603,53.13889546093603,-11.995177336851434,-11.995177336851434,-11.995177336851434,7.788085958879669,7.788085958879669,7.788085958879669,-0.6033749193091185,-0.6033749193091185,-0.6033749193091185,-19.179888376421975,-19.179888376421975,-19.179888376421975,0.0,0.0,0.0,41.14371812408459,Monero,XMR
14,2019-03-15,53.2782506010188,-9.560641162519756,87.57829558663907,53.2782506010188,53.2782506010188,-11.824984169650676,-11.824984169650676,-11.824984169650676,7.788085958879669,7.788085958879669,7.788085958879669,-0.26813521775226745,-0.26813521775226745,-0.26813521775226745,-19.344934910778075,-19.344934910778075,-19.344934910778075,0.0,0.0,0.0,41.45326643136812,Monero,XMR
15,2019-03-16,53.41760574110156,-7.692496526235436,95.62375184520789,53.41760574110156,53.41760574110156,-11.156871592626445,-11.156871592626445,-11.156871592626445,7.788085958879669,7.788085958879669,7.788085958879669,0.4082311715461675,0.4082311715461675,0.4082311715461675,-19.353188723052277,-19.353188723052277,-19.353188723052277,0.0,0.0,0.0,42.260734148475116,Monero,XMR
16,2019-03-17,53.55696088118434,-7.502526128533696,94.61634268150365,53.55696088118434,53.55696088118434,-10.291321090263626,-10.291321090263626,-10.291321090263626,7.788085958879669,7.788085958879669,7.788085958879669,1.1340268744746758,1.1340268744746758,1.1340268744746758,-19.21343392361797,-19.21343392361797,-19.21343392361797,0.0,0.0,0.0,43.265639790920716,Monero,XMR
17,2019-03-18,53.6963160212671,-8.054403830940132,93.25773942074076,53.6963160212671,53.6963160212671,-10.92296419452847,-10.92296419452847,-10.92296419452847,7.788085958879669,7.788085958879669,7.788085958879669,0.2257068468565287,0.2257068468565287,0.2257068468565287,-18.936757000264667,-18.936757000264667,-18.936757000264667,0.0,0.0,0.0,42.77335182673863,Monero,XMR
18,2019-03-19,53.83567116134987,-7.5958790715308355,96.30513309952212,53.83567116134987,53.83567116134987,-11.11829889096883,-11.11829889096883,-11.11829889096883,7.788085958879669,7.788085958879669,7.788085958879669,-0.3703588500883719,-0.3703588500883719,-0.3703588500883719,-18.536025999760128,-18.536025999760128,-18.536025999760128,0.0,0.0,0.0,42.71737227038104,Monero,XMR
19,2019-03-20,53.975026301432635,-8.184254733970414,90.35688742545074,53.975026301432635,53.975026301432635,-10.76334469251247,-10.76334469251247,-10.76334469251247,7.788085958879669,7.788085958879669,7.788085958879669,-0.5260959057309567,-0.5260959057309567,-0.5260959057309567,-18.02533474566118,-18.02533474566118,-18.02533474566118,0.0,0.0,0.0,43.211681608920166,Monero,XMR
20,2019-03-21,54.114381441515405,-6.844968041943212,95.15636953147263,54.114381441515405,54.114381441515405,-10.234718221554227,-10.234718221554227,-10.234718221554227,7.788085958879669,7.788085958879669,7.788085958879669,-0.6033749193100316,-0.6033749193100316,-0.6033749193100316,-17.419429261123856,-17.419429261123856,-17.419429261123856,0.0,0.0,0.0,43.87966321996118,Monero,XMR
21,2019-03-22,54.25373658159817,-7.247712506340356,96.53208748324377,54.25373658159817,54.25373658159817,-9.213183175690007,-9.213183175690007,-9.213183175690007,7.788085958879669,7.788085958879669,7.788085958879669,-0.2681352177517079,-0.2681352177517079,-0.2681352177517079,-16.73313391681797,-16.73313391681797,-16.73313391681797,0.0,0.0,0.0,45.04055340590816,Monero,XMR
22,2019-03-23,54.39309172168094,-4.544115772394142,98.14854362599696,54.39309172168094,54.39309172168094,-7.784477551966899,-7.784477551966899,-7.784477551966899,7.788085958879669,7.788085958879669,7.788085958879669,0.4082311715468209,0.4082311715468209,0.4082311715468209,-15.980794682393388,-15.980794682393388,-15.980794682393388,0.0,0.0,0.0,46.60861416971404,Monero,XMR
23,2019-03-24,54.53244686176371,-1.373066555595565,100.06422578020697,54.53244686176371,54.53244686176371,-6.25364339700027,-6.25364339700027,-6.25364339700027,7.788085958879669,7.788085958879669,7.788085958879669,1.1340268744745268,1.1340268744745268,1.1340268744745268,-15.175756230354466,-15.175756230354466,-15.175756230354466,0.0,0.0,0.0,48.27880346476344,Monero,XMR
24,2019-03-25,54.67180200184648,-0.8508443683019016,99.43104334910853,54.67180200184648,54.67180200184648,-6.316095736298376,-6.316095736298376,-6.316095736298376,7.788085958879669,7.788085958879669,7.788085958879669,0.22570684685644146,0.22570684685644146,0.22570684685644146,-14.329888542034489,-14.329888542034489,-14.329888542034489,0.0,0.0,0.0,48.35570626554811,Monero,XMR
25,2019-03-26,54.81115714192924,-2.200669722634089,99.49247599346381,54.81115714192924,54.81115714192924,-6.035450019584416,-6.035450019584416,-6.035450019584416,7.788085958879669,7.788085958879669,7.788085958879669,-0.37035885008728486,-0.37035885008728486,-0.37035885008728486,-13.453177128376797,-13.453177128376797,-13.453177128376797,0.0,0.0,0.0,48.775707122344826,Monero,XMR
26,2019-03-27,54.95051228201201,-1.0330942774156526,101.86194319531691,54.95051228201201,54.95051228201201,-5.291398993585944,-5.291398993585944,-5.291398993585944,7.788085958879669,7.788085958879669,7.788085958879669,-0.5260959057299215,-0.5260959057299215,-0.5260959057299215,-12.553389046735694,-12.553389046735694,-12.553389046735694,0.0,0.0,0.0,49.65911328842607,Monero,XMR
27,2019-03-28,55.08986742209478,-0.39554477697476376,106.1901328006047,55.08986742209478,55.08986742209478,-4.451113583587229,-4.451113583587229,-4.451113583587229,7.788085958879669,7.788085958879669,7.788085958879669,-0.6033749193094525,-0.6033749193094525,-0.6033749193094525,-11.635824623157447,-11.635824623157447,-11.635824623157447,0.0,0.0,0.0,50.63875383850755,Monero,XMR
28,2019-03-29,55.22922256217754,5.4278979899776365,101.56137680769429,55.22922256217754,55.22922256217754,-3.183211500332996,-3.183211500332996,-3.183211500332996,7.788085958879669,7.788085958879669,7.788085958879669,-0.26813521775172616,-0.26813521775172616,-0.26813521775172616,-10.703162241460939,-10.703162241460939,-10.703162241460939,0.0,0.0,0.0,52.046011061844546,Monero,XMR
29,2019-03-30,55.36857770226032,-2.5011167119265005,104.21351005572862,55.36857770226032,55.36857770226032,-1.5590836763757943,-1.5590836763757943,-1.5590836763757943,7.788085958879669,7.788085958879669,7.788085958879669,0.40823117154747435,0.40823117154747435,0.40823117154747435,-9.755400806802937,-9.755400806802937,-9.755400806802937,0.0,0.0,0.0,53.809494025884526,Monero,XMR
30,2019-03-31,55.50793284234308,8.015813534286599,108.6597054353362,55.50793284234308,55.50793284234308,0.1322112238553304,0.1322112238553304,0.1322112238553304,7.788085958879669,7.788085958879669,7.788085958879669,1.1340268744745368,1.1340268744745368,1.1340268744745368,-8.789901609498873,-8.789901609498873,-8.789901609498873,0.0,0.0,0.0,55.64014406619841,Monero,XMR
31,2019-04-01,55.64728798242585,3.8865820164935854,108.24719081929733,55.64728798242585,55.64728798242585,0.21226442113701594,0.21226442113701594,0.21226442113701594,7.788085958879669,7.788085958879669,7.788085958879669,0.22570684685930037,0.22570684685930037,0.22570684685930037,-7.801528384601954,-7.801528384601954,-7.801528384601954,0.0,0.0,0.0,55.859552403562866,Monero,XMR
32,2019-04-02,55.786643122508615,6.13831556921389,104.74595333965466,55.786643122508615,55.786643122508615,0.6348456427430272,0.6348456427430272,0.6348456427430272,7.788085958879669,7.788085958879669,7.788085958879669,-0.37035885008773983,-0.37035885008773983,-0.37035885008773983,-6.782881466048901,-6.782881466048901,-6.782881466048901,0.0,0.0,0.0,56.421488765251645,Monero,XMR
33,2019-04-03,55.925998262591385,4.866498920799585,105.86561499164465,55.925998262591385,55.925998262591385,1.5373709014074217,1.5373709014074217,1.5373709014074217,7.788085958879669,7.788085958879669,7.788085958879669,-0.5260959057305753,-0.5260959057305753,-0.5260959057305753,-5.724619151741672,-5.724619151741672,-5.724619151741672,0.0,0.0,0.0,57.463369163998806,Monero,XMR
34,2019-04-04,56.06535340267415,8.518493795972969,110.16460745360835,56.06535340267415,56.06535340267415,2.568854234687105,2.568854234687105,2.568854234687105,7.788085958879669,7.788085958879669,7.788085958879669,-0.6033749193096813,-0.6033749193096813,-0.6033749193096813,-4.615856804882882,-4.615856804882882,-4.615856804882882,0.0,0.0,0.0,58.63420763736125,Monero,XMR
35,2019-04-05,56.204708542756926,7.597710749475136,111.11953892568329,56.204708542756926,56.204708542756926,4.075318850979627,4.075318850979627,4.075318850979627,7.788085958879669,7.788085958879669,7.788085958879669,-0.26813521775058885,-0.26813521775058885,-0.26813521775058885,-3.444631890149453,-3.444631890149453,-3.444631890149453,0.0,0.0,0.0,60.28002739373655,Monero,XMR
36,2019-04-06,56.344063812188935,11.77683225268107,115.21345074886707,56.344063812188935,56.344063812188935,5.997895985555941,5.997895985555941,5.997895985555941,7.788085958879669,7.788085958879669,7.788085958879669,0.40823117154641536,0.40823117154641536,0.40823117154641536,-2.1984211448701436,-2.1984211448701436,-2.1984211448701436,0.0,0.0,0.0,62.34195979774488,Monero,XMR
37,2019-04-07,56.48341908162095,14.050185403604406,114.70103023645805,56.48341908162095,56.48341908162095,8.057418360987853,8.057418360987853,8.057418360987853,7.788085958879669,7.788085958879669,7.788085958879669,1.1340268744745403,1.1340268744745403,1.1340268744745403,-0.8646944723663562,-0.8646944723663562,-0.8646944723663562,0.0,0.0,0.0,64.5408374426088,Monero,XMR
38,2019-04-08,56.62277435105297,15.804467710559843,115.2008377424915,56.62277435105297,56.62277435105297,8.582303844867848,8.582303844867848,8.582303844867848,7.788085958879669,7.788085958879669,7.788085958879669,0.22570684685817746,0.22570684685817746,0.22570684685817746,0.5685110391300016,0.5685110391300016,0.5685110391300016,0.0,0.0,0.0,65.20507819592082,Monero,XMR
39,2019-04-09,56.762129620484984,17.698473550158628,121.02162124398058,56.762129620484984,56.762129620484984,9.529741396749568,9.529741396749568,9.529741396749568,7.788085958879669,7.788085958879669,7.788085958879669,-0.3703588500881947,-0.3703588500881947,-0.3703588500881947,2.1120142879580954,2.1120142879580954,2.1120142879580954,0.0,0.0,0.0,66.29187101723456,Monero,XMR
40,2019-04-10,56.90148488991699,17.046661678487347,113.96570800425722,56.90148488991699,56.90148488991699,11.036918125841702,11.036918125841702,11.036918125841702,7.788085958879669,7.788085958879669,7.788085958879669,-0.5260959057303506,-0.5260959057303506,-0.5260959057303506,3.7749280726923824,3.7749280726923824,3.7749280726923824,0.0,0.0,0.0,67.9384030157587,Monero,XMR
41,2019-04-11,57.04084015934901,18.50992307247391,122.3594538424131,57.04084015934901,57.04084015934901,12.748840082870382,12.748840082870382,12.748840082870382,7.788085958879669,7.788085958879669,7.788085958879669,-0.6033749193099103,-0.6033749193099103,-0.6033749193099103,5.564129043300624,5.564129043300624,5.564129043300624,0.0,0.0,0.0,69.78968024221939,Monero,XMR
